Panel,Mediator,Coef,SE,P,N,Cities,R2,DID_Coef,DID_SE,DID_P,Bonferroni_P,Rank,FDR_Q
Panel A,Social,.0651505264929763,.027726946,.020902779,16876,94,.089667395,.065150529,.027726946,.020902779,.125416673719883,1,.0626648813486099
Panel A,Road,-2.33947428986298,1.0188156,.023906292,16968,94,.8685075,-2.3394742,1.0188156,.023906292,.1434377543628216,2,.0626648813486099
Panel A,Medical,.145225305848545,.066436775,.031332441,11448,94,.56438005,.1452253,.066436775,.031332441,.1879946440458298,3,.0626648813486099
Panel A,PM25,-4.83935039732396,2.8005047,.087302312,16968,94,.94108307,-4.8393502,2.8005047,.087302312,.5238138735294342,4,.1309534683823586
Panel A,Green,.3939545574082204,.59831351,.51188117,16968,94,.79754627,.39395455,.59831351,.51188117,1,5,.584667444229126
Panel A,SO2,-8406.397612178704,15326.34,.58466744,15724,94,.68543339,-8406.3975,15326.34,.58466744,1,6,.584667444229126
Panel B,Social,-.0410426571615287,.0089744283,.000014778778,16660,94,.13310614,-.08409901,.032848023,.012071076,.0000886726666067,1,.0000886726666067
Panel B,Green,-.0074059125990766,.0034880165,.036388647,16661,94,.13224678,-.083876804,.032242488,.010801093,.2183318808674812,2,.1091659404337406
Panel B,SO2,-1.79492198152e-07,1.8334437e-07,.33012506,15430,94,.13277902,-.063329078,.021863002,.0047022146,1,3,.6602501273155212
Panel B,PM25,-.0009007511482328,.0013740412,.51373285,16661,94,.13184571,-.091048196,.032896347,.0068117362,1,4,.7705992758274078
Panel B,Medical,-.0170840223865379,.046120379,.71191013,11141,94,.12740448,-.045033552,.028535414,.11792359,1,5,.8542921543121338
Panel B,Road,-.0002141447241398,.002661037,.93603307,16661,94,.13181795,-.087173127,.033869319,.011638802,1,6,.9360330700874329
